bab_key,bab_label,bab_number,question_no,question_text,option_a,option_b,option_c,option_d,correct_answer
pembukaan,Pembukaan – المقدمة,1,1,Kitab Nadzam Imritti merupakan nazham dari kitab apa?,Alfiyah Ibnu Malik,Al-Jurumiyah,Qawa'idul I'rab,Mutammimah,b
pembukaan,Pembukaan – المقدمة,1,2,"Menurut muqaddimah, ilmu apa yang paling utama dipelajari terlebih dahulu sebelum memahami kalam Arab?",Ilmu Sharaf,Ilmu Balaghah,Ilmu Nahwu,Ilmu Mantiq,c
pembukaan,Pembukaan – المقدمة,1,3,Apa tujuan utama mempelajari bahasa Arab menurut pembukaan kitab ini?,Agar bisa berbicara dengan orang Arab,Agar bisa menulis kitab sendiri,Agar bisa memahami Al-Qur'an dan As-Sunnah,Agar lulus ujian pesantren,c
pembukaan,Pembukaan – المقدمة,1,4,Siapa pengarang kitab Al-Jurumiyah yang disebutkan dalam muqaddimah?,Ibnu Malik,Ibnu Aqil,Al-Imrithi,Ibnu Ajurum,d
pembukaan,Pembukaan – المقدمة,1,5,"Lafaz ""النَّحْوُ أَوْلَى أَوَّلاً أَنْ يُعْلَمَا"" artinya adalah...",Nahwu adalah ilmu yang paling sulit dipelajari,Nahwu hanya dipelajari oleh ulama besar,Nahwu lebih berhak untuk dipelajari lebih dahulu,Nahwu adalah ilmu yang paling mulia,c
pembukaan,Pembukaan – المقدمة,1,6,Dalam muqaddimah disebutkan bahwa kitab Al-Jurumiyah terkenal di negeri...,Arab dan Eropa,"Arab, Ajam, dan Rum",Arab dan Afrika,Arab dan India,b
pembukaan,Pembukaan – المقدمة,1,7,"Apa yang dimaksud dengan ""مُقْتَدِي"" dalam konteks nazham Imrithi?",Orang yang menghafal,Orang yang mengikuti (kitab asal/Jurumiyah),Orang yang mengajar,Orang yang meringkas,b
pembukaan,Pembukaan – المقدمة,1,8,Penulis nazham Imrithi menyebutkan bahwa beliau membuang sebagian materi dari Jurumiyah. Apa alasannya?,Materinya terlalu mudah,Tidak relevan dengan zaman,Materi tersebut kurang diperlukan (bisa dicukupkan tanpanya),Sudah ada di kitab lain,c
pembukaan,Pembukaan – المقدمة,1,9,"Menurut muqaddimah, nazham ini ditujukan terutama untuk siapa?",Para hafidz Al-Qur'an,Para ulama besar,Orang yang baru mulai belajar nahwu (mubtadi'),Para guru pesantren,c
pembukaan,Pembukaan – المقدمة,1,10,"Kata ""الوَرَى"" yang muncul dalam bait-bait pembukaan bermakna...",Ulama,Santri,Manusia/makhluk,Penuntut ilmu,c
bab_kalam,Bab Kalam – bab الكلام,2,1,"Menurut ilmu Nahwu, apa definisi كَلاَم (kalam)?",Setiap lafaz yang bisa diucapkan,Lafaz tunggal yang bermakna,Lafaz yang berfaedah dan musnad (murakkab),Rangkaian huruf yang tersusun,c
bab_kalam,Bab Kalam – bab الكلام,2,2,Apa perbedaan antara كَلاَم (kalam) dan كَلِمَة (kalimah)?,Kalam lebih pendek dari kalimah,Kalimah adalah kumpulan dari kalam,"Kalam adalah murakkab (tersusun) dan berfaedah, kalimah adalah lafaz tunggal yang berfaedah",Keduanya memiliki arti yang sama,c
bab_kalam,Bab Kalam – bab الكلام,2,3,Kalimah dalam bahasa Arab terbagi menjadi berapa macam?,Dua,Tiga,Empat,Lima,b
bab_kalam,Bab Kalam – bab الكلام,2,4,Kumpulan dari beberapa kalimah (lebih dari dua) disebut...,Kalam,Jumlah,Kalim,Qaul,c
bab_kalam,Bab Kalam – bab الكلام,2,5,Manakah yang termasuk ciri-ciri اِسْم (isim)?,Bisa dimasuki sin dan saufa,Bisa dimasuki ta' ta'nits yang sukun,"Bisa dimasuki tanwin, jer, dan alif lam (ال)",Tidak bisa diberi tanda apapun,c
bab_kalam,Bab Kalam – bab الكلام,2,6,"""وَالفِعْلُ مَعْرُوفٌ بِقَدْ وَالسِّيْن"", huruf ""السِّيْن"" di sini maksudnya adalah...",Huruf sin sebagai awalan isim,Huruf sin sebagai tanda fiil mudhari' (bermakna akan),Huruf sin tanda fi'il madhi,Huruf sin tanda fi'il amr,b
bab_kalam,Bab Kalam – bab الكلام,2,7,Manakah contoh di bawah ini yang termasuk حَرْف (huruf)?,ضَرَبَ,زَيْدٌ,مِنْ,يَذْهَبُ,c
bab_kalam,Bab Kalam – bab الكلام,2,8,Mengapa huruf tidak memiliki tanda khusus seperti isim dan fiil?,Karena huruf tidak penting dalam kalam,Karena huruf terlalu pendek,Karena tidak bisa menerima tanda isim maupun fiil,Karena huruf bersifat tetap dan tidak berubah,c
